,CountryCode,CurrentHandle,NameFirst,NameLast,PlayerId,TotalUSDPrize
32,my,Exhart,-,-,7312,31.64
33,my,psicotic,-,-,7313,31.64
34,my,Fatality,-,-,7314,31.64
35,my,Maybe877,-,-,7315,31.64
36,gr,Giselher,-,-,13808,30.99
37,us,Gretorp,Andre,Hengchua,6381,30.0
38,ru,KingCobra,Sergey,Kondaurov,14144,30.0
39,ca,Seryph,-,-,23224,30.0
40,ru,Milka,Maksim,Berezin,35001,29.48
41,ru,RusZerg,-,-,34102,29.08
42,ua,QuanChi,-,-,34103,29.08
43,kr,KDY,Dong-young,Kim,11106,27.78
44,us,Tesla,Robbie,Plata,34094,27.5
45,fr,Miyako,Laure,-,24968,26.94
46,us,MasterAsia,Ruodu,Wang,2300,25.0
47,dk,joejoe,Johannes,Witt,2303,25.0
48,us,ZeuS,Dan,Yoshida,2306,25.0
49,ca,YoonHo,Yoon Ho,Um,2307,25.0
50,us,Junny,Daniel,Jun,2308,25.0
51,kr,Returning,Dong Ho,Kim,2312,25.0
52,us,LuckyFool,Rob,Griesemer,2316,25.0
53,us,SyNc,Max,Kap,2317,25.0
54,ca,Time,Patrick,Allen,2318,25.0
55,kr,Berra,Jin Kun,Park,2319,25.0
56,sg,kellyMILKIES,Kelly,Ong Xiao Wei,2332,25.0
57,ca,Inkarnate,Ryan,Ormsby,2788,25.0
58,us,GraViTy,Ben,Molls,2789,25.0
59,us,johnouyoung,John,Ou Young,2790,25.0
60,us,Alexander Ly,Alexander,Ly,2791,25.0
61,us,Tony Pham,Tony,Pham,2792,25.0
62,us,KneeHi,Alek,Prillaman,2793,25.0
63,us,Frond,Gregory,Schafer,2794,25.0
64,us,Trump,Jeffrey,Shih,7139,25.0
65,be,HTOMario,Geoffrey,van der Spek,10017,25.0
66,gb,Franscar,-,-,10315,25.0
67,us,TheGiantNome,-,-,14816,25.0
68,us,Hunta,-,-,17288,25.0
69,us,BlackBearMe,-,-,17289,25.0
70,us,StarLord,-,-,18587,25.0
71,us,TheTRUTH,-,-,23222,25.0
72,us,NailBird,-,-,24643,25.0
73,us,Dnice,-,-,24644,25.0
74,us,AlphaPancake,-,-,25316,25.0
75,us,Isaac,-,-,25319,25.0
76,us,Monkeyballs,-,-,25321,25.0
77,fr,Behemoth,-,-,26806,25.0
78,fr,Relmer,Fred,Carpanedo,26809,25.0
79,ru,Healer,-,-,27178,25.0
80,kr,KellerMaN,Yoon Ho,Son,27257,25.0
81,kr,Picasso,-,-,27258,25.0
82,us,Nistic,Hans,Foster,27341,25.0
83,lt,Zygos,-,-,27497,25.0
84,lt,Sakkre,-,-,27498,25.0
85,lt,ilovean,-,-,27499,25.0
86,kr,Soloist,Jae Ho,Jung,29833,25.0
87,us,Seigifried,Peter,Spoto,38821,25.0
88,us,Neuro,Austin,Filsinger,39719,25.0
89,ru,Mef1STo,Vladimir,Chernikov,22680,24.63
90,ua,BuRning,-,-,27501,24.6
91,ru,Aizen,Aleksandr,Markalin,27500,24.08
92,us,Marre,-,-,37723,23.3
93,ru,SKillous,Nikita,Gurevich,34098,22.57
94,ru,Шахматист,-,-,27502,22.23
95,hu,Freeman,Levente,Frim,21366,22.2
96,dk,PappiJoe,-,-,29964,21.38
97,ru,Matvey,-,-,35000,21.35
98,sg,Maltiso,-,-,7322,21.07
99,pl,niceq,Adam,Ratajczak,38407,20.66
0,ua,Snake,Dmitriy,Grigoriev,4331,20.0
1,ca,Fayth,Josué,Sauvageau,6383,20.0
2,us,Night,-,-,7335,20.0
3,se,meYera,Mathias,Meyer,8533,20.0
4,us,Rigid,Coy,Brown,14117,20.0
5,ru,dSKe,Eugene,-,14119,20.0
6,ru,Lester,Arzhan,Bekzhanov,14120,20.0
7,bg,ToHio,Anton,Georgiev,14121,20.0
8,bg,Splendour,Lyubomir,Kozlovski,14122,20.0
9,ru,slyCAT,-,-,14123,20.0
10,pl,EffkA,Ewa,Wagner,14124,20.0
11,ca,Dreamcatcher,-,-,14125,20.0
12,ru,CuteZerg,Roman,Bashirov,14126,20.0
13,ua,Chelovek,Maxim,Kostenko,14128,20.0
14,ee,RelaX,Dmitri,Dudakov,14129,20.0
15,fi,Onva,-,-,14130,20.0
16,ru,Boroda,Dennis,Tarasov,14134,20.0
17,cz,Steve,-,-,14135,20.0
18,be,Cosmos,Nelson,Castiaux,14136,20.0
19,ca,Jaden,Eric,Beaulieu,14137,20.0
20,fr,Kimo,-,-,14138,20.0
21,nl,RainMan,Marc,Brink,14140,20.0
22,ru,Tigr,-,-,14141,20.0
23,ru,Affect,Roman,Sklenin,14142,20.0
24,us,freeedom,KJ,Garcia,23225,20.0
25,ru,Lucifer,Vladislav,Diskaev,34999,18.98
26,ph,Danezkie,Dane,Luis,7330,18.54
27,br,Sektor,Gabriel,Yamasita,13767,18.41
28,kz,KeeLo,-,-,25510,17.21
29,cn,YaphetsW,-,-,27534,16.53
30,cn,Misaka_Mikoto,-,-,27535,16.45
31,pl,GraVe,Adrian,Dembnicki,8050,16.42
32,pl,Pidiiinne,Damian,Grzybek,8051,16.42
33,cn,晓美焰,-,-,27532,16.41
34,cn,LemonTree,-,-,17291,16.38
35,cn,trickyboy,-,-,12019,16.33
36,cn,ExcuseKing,-,-,27529,16.33
37,kr,Se Jun Park,Se-jun,Park,19598,16.1
38,cn,shokaku,-,-,19601,16.1
39,cn,Empty,-,-,19602,16.1
40,cn,Oner,-,-,19603,16.1
41,cn,Darkness,-,-,19607,16.1
42,us,Siege,Kevin,Wysoczynski,19608,16.1
43,cn,瞬间全倒,-,-,19610,16.1
44,gb,Ceonsamea,Dayne,Kolk,14811,15.0
45,br,Lullaby,-,-,14812,15.0
46,us,MaNiacJace,-,-,14813,15.0
47,us,Dreams,Tom,Elkins,23223,15.0
48,ca,Vespasian,-,-,23226,15.0
49,us,Taranis,-,-,23227,15.0
50,ca,Apocalypse,-,-,23228,15.0
51,us,Otsegoflesh,-,-,25317,15.0
52,us,MiaKhalifa,-,-,25322,15.0
53,us,Sacrilege,Austin,Fiorito,25323,15.0
54,us,Qualia,-,-,27238,15.0
55,us,roka,-,-,31366,15.0
56,bg,ArchangeL,-,-,32094,15.0
57,us,Towelie,Ryan,Pannell,32095,15.0
58,us,LiqhT,Kailash,Jayaram,32096,15.0
59,us,Operator,-,-,34657,15.0
60,pl,ToZiS,-,-,40763,13.89
61,de,Miezekotze,-,-,35644,13.47
62,gb,AsTeR,Connor,Richardson,21368,13.32
63,gb,Genesis,-,-,26807,12.5
64,us,Resolve,-,-,26808,12.5
65,us,LOOPY,-,-,31247,12.5
66,ua,Hades,Aleksei,Chistiakov,34099,12.47
67,vn,Beethoven,-,-,7324,10.72
68,nz,MaSteR,Do Young,Kim,7323,10.53
69,au,EdgE,Cameron,Murrin,7321,10.15
70,ru,OvermindMK,Mihail,Krotov,34101,10.1
71,ru,Fallenger,Vladimir,Zolnov,34104,10.1
72,es,AqueroN,Rubén,Villanueva,22861,10.0
73,us,CalebAracous,Caleb,Jones,27260,10.0
74,ve,ThuNdeR,Jorge,Zambrano,28593,7.14
75,ve,Demonizer,Guillermo,Lunar,28594,7.14
76,pe,Kuyzz,-,-,28595,7.14
77,ru,Sunokasuri,-,-,35645,6.74
78,at,Sylvanas,Chantal,Frey,35646,3.37
79,us,NoveaStar,-,-,35647,3.37
80,us,Poizon,-,-,35648,3.37
81,be,Anolia,-,-,35649,3.37
82,ru,Easy,-,-,38984,2.37
