,Age_at_win,Prize_USD,date
718,,58,2016-03-26
719,,58,2016-03-26
720,,57,2011-06-18
721,,57,2011-06-18
722,,57,2011-06-18
723,,57,2011-06-18
724,,19,2015-10-06
725,24.0,669,2011-12-06
726,,38,2016-04-21
727,,56,2011-09-04
728,,56,2011-09-04
729,,55,2015-02-28
730,21.0,55,2012-06-16
731,,55,2012-06-16
732,,55,2012-06-16
733,,55,2012-06-16
734,,18,2014-03-28
735,,36,2014-04-05
736,24.0,65,2011-12-12
737,,55,2013-11-23
738,,15,2014-07-27
739,,25,2014-09-28
740,,15,2014-11-30
741,,54,2014-01-11
742,,54,2014-01-11
743,,54,2017-07-17
744,,52,2012-02-12
745,,44,2014-10-05
746,,7,2015-03-12
747,25.0,264,2012-01-15
748,18.0,50,2011-11-06
749,,50,2010-09-18
750,21.0,50,2010-12-04
751,,50,2011-02-26
752,,50,2011-06-25
753,,50,2011-08-13
754,,25,2011-11-12
755,,25,2012-02-18
756,,50,2012-02-25
757,,50,2013-06-29
758,25.0,222,2012-01-28
759,,50,2013-06-29
760,,50,2013-06-29
761,,50,2013-06-29
762,,50,2013-06-29
763,20.0,50,2012-06-03
764,,50,2012-07-08
765,,50,2015-01-03
766,,50,2016-07-24
767,,50,2016-07-24
768,,50,2016-02-14
769,25.0,79,2012-03-18
770,,50,2016-06-04
771,,50,2016-11-06
772,,50,2017-01-08
773,,49,2010-10-10
774,,49,2010-10-10
775,,49,2010-10-10
776,,49,2010-10-10
777,,49,2010-10-10
778,,49,2010-10-10
779,,49,2010-10-10
780,20.0,1000,2011-10-09
781,25.0,66,2012-03-29
782,,49,2011-12-11
783,,16,2013-12-28
784,,16,2014-03-08
785,,16,2014-05-11
786,,20,2017-04-30
787,,25,2017-05-04
788,,46,2012-03-18
789,,46,2012-02-26
790,,25,2015-01-03
791,,20,2015-08-02
792,25.0,125,2012-04-15
793,,44,2012-04-15
794,,20,2016-11-30
795,,18,2016-12-30
796,,2,2017-05-23
797,,40,2013-08-18
798,,40,2013-08-18
799,,40,2013-08-18
800,,40,2013-08-18
801,,40,2013-08-18
802,,40,2013-08-18
803,25.0,500,2012-05-12
804,,40,2013-08-18
805,,40,2013-08-18
806,,40,2012-06-03
807,,40,2012-06-03
808,,40,2013-10-11
809,,20,2012-05-25
810,,20,2012-06-01
811,,40,2015-01-10
812,,38,2012-06-03
813,,38,2015-03-28
814,25.0,300,2012-07-15
815,,37,2014-10-22
816,,15,2016-05-21
817,,22,2016-08-20
818,,36,2011-04-25
819,,35,2011-06-30
820,,35,2016-01-10
821,,35,2016-01-10
822,,35,2016-01-10
823,,35,2011-05-09
824,,35,2011-05-30
825,25.0,218,2012-07-27
826,,35,2011-07-11
827,,35,2011-07-11
828,,35,2011-03-21
829,,35,2011-03-21
830,,35,2011-03-28
831,,35,2011-03-28
832,,34,2017-04-09
833,,34,2011-04-24
834,,34,2013-02-07
835,,34,2010-11-11
836,25.0,250,2012-07-28
837,,34,2010-11-25
838,,33,2016-03-22
839,23.0,33,2012-06-16
840,,33,2012-06-16
841,,33,2012-06-16
842,,33,2012-06-16
843,,33,2012-06-16
844,,33,2012-06-16
845,,33,2012-06-16
846,,33,2012-06-16
847,26.0,3090,2013-06-17
848,,33,2011-01-13
849,,33,2014-08-31
850,17.0,32,2013-07-16
851,,32,2013-07-16
852,,32,2015-07-30
853,,32,2010-09-09
854,,32,2010-09-13
855,,32,2010-09-23
856,,32,2010-09-30
857,,16,2013-08-17
858,26.0,1544,2013-10-13
859,,16,2013-09-14
860,,16,2013-07-20
861,,16,2013-08-31
862,,32,2012-10-16
863,,16,2015-06-14
864,,16,2015-07-12
865,,10,2016-08-06
866,,22,2016-09-17
867,,31,2013-06-29
868,,31,2013-06-29
869,26.0,75,2013-12-12
870,,31,2013-06-29
871,,31,2013-06-29
872,,31,2013-06-29
873,,31,2013-06-29
874,,31,2013-06-29
875,,30,2014-12-11
876,23.0,20,2011-02-16
877,27.0,10,2015-03-23
878,,20,2012-05-18
879,,10,2016-03-28
880,23.0,355,2011-03-19
881,,30,2015-08-02
882,,27,2016-12-30
883,,2,2017-05-23
884,,10,2016-11-30
885,,18,2016-12-30
886,,10,2016-11-30
887,,18,2016-12-30
888,,27,2012-11-21
889,,12,2016-11-26
890,,15,2016-11-26
891,20.0,1000,2011-10-09
892,23.0,1276,2011-03-24
893,,26,2016-09-24
894,,25,2010-11-13
895,,25,2010-11-27
896,22.0,25,2010-12-18
897,,25,2010-12-18
898,,25,2011-01-15
899,18.0,25,2011-07-16
900,23.0,25,2011-09-17
901,20.0,25,2011-09-17
902,23.0,25,2011-10-01
903,23.0,184,2011-05-14
904,,25,2011-12-10
905,21.0,25,2011-07-16
906,,25,2010-11-14
907,,25,2010-11-14
908,,25,2010-11-14
909,,25,2010-11-14
910,,25,2010-11-14
911,,25,2010-11-14
912,20.0,25,2010-11-14
913,28.0,25,2015-11-15
914,23.0,1314,2011-05-19
915,,25,2014-01-09
916,,25,2014-05-10
917,,25,2015-01-03
918,,25,2015-03-28
919,,25,2015-03-28
920,,25,2015-05-10
921,,25,2015-08-28
922,,25,2015-05-31
923,,25,2015-05-31
924,,25,2014-11-30
925,23.0,1839,2011-06-18
926,,25,2015-07-19
927,,25,2015-09-27
928,,25,2014-03-29
929,,25,2015-12-21
930,,25,2016-01-18
931,,25,2015-06-14
932,,25,2015-10-25
933,,25,2016-01-23
934,,25,2014-04-06
935,,25,2014-04-06
936,23.0,50,2011-07-01
937,,25,2014-04-06
938,,25,2016-06-05
939,,25,2017-05-12
940,,25,2017-06-16
941,,24,2015-08-09
942,,22,2015-10-23
943,,2,2017-05-23
944,,24,2015-05-15
945,,23,2017-04-09
946,,20,2016-11-30
947,23.0,1400,2011-07-31
948,,2,2017-05-23
949,,22,2015-10-23
950,,22,2015-08-15
951,,11,2016-06-10
952,,10,2017-04-22
953,,18,2016-12-30
954,,2,2017-05-23
955,,21,2011-04-10
956,,20,2017-04-30
957,21.0,20,2010-11-03
958,23.0,1392,2011-09-10
959,,20,2011-02-16
960,,20,2013-12-29
961,,20,2011-05-13
962,,20,2010-09-14
963,,20,2010-10-26
964,,20,2010-11-10
965,,20,2010-11-16
966,,20,2010-11-24
967,,20,2010-12-08
968,25.0,20,2011-01-04
969,23.0,4358,2011-10-22
970,,20,2011-02-15
971,,20,2011-03-02
972,,20,2011-04-19
973,22.0,20,2011-05-24
974,,20,2011-07-12
975,,20,2011-08-26
976,,20,2011-08-30
977,,20,2011-09-20
978,,20,2011-09-30
979,,20,2011-10-04
980,23.0,3550,2011-11-13
981,,20,2011-11-25
982,,20,2012-01-13
983,,20,2012-04-27
984,,20,2015-08-02
985,,18,2016-12-30
986,,18,2013-07-28
987,,18,2014-04-05
988,,17,2011-04-24
989,,16,2014-01-25
990,,16,2014-02-22
991,23.0,1770,2011-12-07
992,,16,2014-03-23
993,,16,2014-03-23
994,,16,2013-11-02
995,,16,2013-10-19
996,,16,2013-08-31
997,,16,2013-08-03
998,,16,2015-05-31
999,,16,2015-05-31
1000,,16,2015-05-31
1001,,16,2015-06-07
1002,20.0,3000,2011-10-16
1003,23.0,885,2011-12-07
1004,,16,2015-06-14
1005,,16,2015-06-28
1006,,16,2015-06-28
1007,,15,2015-01-03
1008,,15,2015-01-03
1009,,15,2015-01-03
1010,,15,2015-08-02
1011,,15,2015-08-02
1012,,15,2015-08-02
1013,,15,2015-08-02
1014,23.0,800,2011-12-10
1015,,15,2015-01-25
1016,,15,2015-09-27
1017,,15,2015-11-22
1018,,15,2015-12-19
1019,,15,2016-03-26
1020,,15,2016-09-17
1021,,15,2016-09-17
1022,,15,2016-09-17
1023,,15,2016-11-20
1024,,13,2015-05-01
1025,23.0,500,2011-12-17
1026,,13,2016-09-24
1027,,13,2014-08-31
1028,,12,2014-03-29
1029,,12,2014-03-29
1030,,12,2015-12-27
1031,,10,2016-11-30
1032,,2,2017-05-23
1033,,10,2011-06-05
1034,20.0,10,2011-04-10
1035,,10,2011-03-13
1036,24.0,900,2012-02-26
1037,,10,2016-11-30
1038,,10,2016-11-30
1039,,10,2017-07-26
1040,,5,2015-12-11
1041,,5,2016-01-22
1042,,7,2016-04-03
1043,,7,2016-04-03
1044,,7,2016-04-03
1045,,6,2016-09-24
1046,,3,2016-09-24
1047,24.0,717,2012-03-01
1048,,3,2016-09-24
1049,,3,2016-09-24
1050,,3,2016-09-24
1051,,2,2017-05-23
1052,21.0,3078,2013-08-03
1053,21.0,684,2013-08-03
1054,21.0,400,2013-10-13
1055,21.0,2400,2014-02-11
1056,21.0,66388,2014-04-05
1057,21.0,7560,2014-04-26
1058,24.0,1793,2012-03-03
1059,21.0,1100,2014-06-08
1060,21.0,3945,2014-06-28
1061,22.0,1000,2014-07-20
1062,22.0,5333,2014-08-09
1063,22.0,4000,2014-08-31
1064,22.0,29520,2014-09-14
1065,22.0,7728,2014-10-04
1066,22.0,5000,2014-11-08
1067,22.0,5000,2014-11-16
1068,22.0,2706,2014-12-07
