,Unnamed: 0,CountryCode,CurrentHandle,NameFirst,NameLast,PlayerId,TotalUSDPrize,Key,KL,kh
840,40,de,NoXOuT,Marvin,Müller,1840,457.63,1840-NoXOuT-Marvin-Müller,1840-NoXOuT-Müller-Marvin,1840-NoXOuT
841,41,cn,luna,-,-,31489,457.2,31489-luna,31489-luna,31489-luna
842,42,cn,Yink,-,-,31498,457.2,31498-Yink,31498-Yink,31498-Yink
843,43,ch,PengWin,Stefan,Mott,14810,455.52,14810-PengWin-Stefan-Mott,14810-PengWin-Mott-Stefan,14810-PengWin
844,44,cn,ZZzz,-,-,31494,453.08,31494-ZZzz,31494-ZZzz,31494-ZZzz
845,45,kr,Sweetly,-,-,22058,451.24,22058-Sweetly,22058-Sweetly,22058-Sweetly
846,46,ca,Silver,Strieb,Roman,1404,450.0,1404-Silver-Strieb-Roman,1404-Silver-Roman-Strieb,1404-Silver
847,47,us,MurDeR,Ben,Cardwell,1405,450.0,1405-MurDeR-Ben-Cardwell,1405-MurDeR-Cardwell-Ben,1405-MurDeR
848,48,gb,Phamut,Dan,McDonald,3266,450.0,3266-Phamut-Dan-McDonald,3266-Phamut-McDonald-Dan,3266-Phamut
849,49,gb,Simba,Tom,Mcfaul,4373,450.0,4373-Simba-Tom-Mcfaul,4373-Simba-Mcfaul-Tom,4373-Simba
850,50,fr,MaSter,Nicolas,Guinard,7375,450.0,7375-MaSter-Nicolas-Guinard,7375-MaSter-Guinard-Nicolas,7375-MaSter
851,51,ru,Yurka,Yuri,Karev,7379,450.0,7379-Yurka-Yuri-Karev,7379-Yurka-Karev-Yuri,7379-Yurka
852,52,kr,Gerrard,Oi-Shik,Park,1668,448.79,1668-Gerrard-Oi-Shik-Park,1668-Gerrard-Park-Oi-Shik,1668-Gerrard
853,53,kr,Fairy,Bae,Chul-Ho,11107,444.44,11107-Fairy-Bae-Chul-Ho,11107-Fairy-Chul-Ho-Bae,11107-Fairy
854,54,kr,Park,Jong-Hyuk,Park,1671,443.24,1671-Park-Jong-Hyuk-Park,1671-Park-Park-Jong-Hyuk,1671-Park
855,55,kr,Gon,Seong-Gon,Kim,1672,443.24,1672-Gon-Seong-Gon-Kim,1672-Gon-Kim-Seong-Gon,1672-Gon
856,56,kr,FreeSaGa,Kook-Jin,Ahn,1644,442.44,1644-FreeSaGa-Kook-Jin-Ahn,1644-FreeSaGa-Ahn-Kook-Jin,1644-FreeSaGa
857,57,kr,Keeping,Kang-Beum,Lee,1645,442.44,1645-Keeping-Kang-Beum-Lee,1645-Keeping-Lee-Kang-Beum,1645-Keeping
858,58,kr,justfake,Kwan-Woo,Lee,1646,442.44,1646-justfake-Kwan-Woo-Lee,1646-justfake-Lee-Kwan-Woo,1646-justfake
859,59,kr,DAVIT,Hyuk-Bum,Kwon,1647,442.44,1647-DAVIT-Hyuk-Bum-Kwon,1647-DAVIT-Kwon-Hyuk-Bum,1647-DAVIT
860,60,kr,Skit,Min-Soo,Choi,1293,442.09,1293-Skit-Min-Soo-Choi,1293-Skit-Choi-Min-Soo,1293-Skit
861,61,il,Osho,Dror,Evron,2517,441.83,2517-Osho-Dror-Evron,2517-Osho-Evron-Dror,2517-Osho
862,62,pl,Indy,Igor,Kaczmarek,14133,441.4,14133-Indy-Igor-Kaczmarek,14133-Indy-Kaczmarek-Igor,14133-Indy
863,63,no,Shad,-,-,6774,441.07,6774-Shad,6774-Shad,6774-Shad
864,64,kr,Mamuri,Jae-Hyun,Lim,4076,439.83,4076-Mamuri-Jae-Hyun-Lim,4076-Mamuri-Lim-Jae-Hyun,4076-Mamuri
865,65,ua,White,Stepan,Yerichuk,3020,438.87,3020-White-Stepan-Yerichuk,3020-White-Yerichuk-Stepan,3020-White
